VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2019 12:46:40 AM,01/01/2019 12:53:20 AM,1,1.5,1,N,151,239,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,
1,01/01/2019 12:59:47 AM,01/01/2019 01:18:59 AM,1,2.6,1,N,239,246,1,14.0,0.5,0.5,1.0,0.0,0.3,16.3,
2,12/21/2018 01:48:30 PM,12/21/2018 01:52:40 PM,3,0.0,1,N,236,236,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
2,11/28/2018 03:52:25 PM,11/28/2018 03:55:45 PM,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,0.0,0.3,7.55,
2,11/28/2018 03:56:57 PM,11/28/2018 03:58:33 PM,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
2,11/28/2018 04:25:49 PM,11/28/2018 04:28:26 PM,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,5.76,0.3,13.31,
2,11/28/2018 04:29:37 PM,11/28/2018 04:33:43 PM,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
1,01/01/2019 12:21:28 AM,01/01/2019 12:28:37 AM,1,1.3,1,N,163,229,1,6.5,0.5,0.5,1.25,0.0,0.3,9.05,
1,01/01/2019 12:32:01 AM,01/01/2019 12:45:39 AM,1,3.7,1,N,229,7,1,13.5,0.5,0.5,3.7,0.0,0.3,18.5,
1,01/01/2019 12:57:32 AM,01/01/2019 01:09:32 AM,2,2.1,1,N,141,234,1,10.0,0.5,0.5,1.7,0.0,0.3,13.0,
1,01/01/2019 12:24:04 AM,01/01/2019 12:47:06 AM,2,2.8,1,N,246,162,1,15.0,0.5,0.5,3.25,0.0,0.3,19.55,
1,01/01/2019 12:21:59 AM,01/01/2019 12:28:24 AM,1,0.7,1,N,238,151,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5,
1,01/01/2019 12:45:21 AM,01/01/2019 01:31:05 AM,1,8.7,1,N,163,25,1,34.5,0.5,0.5,7.15,0.0,0.3,42.95,
1,01/01/2019 12:43:19 AM,01/01/2019 01:07:42 AM,1,6.3,1,N,224,25,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,
1,01/01/2019 12:58:24 AM,01/01/2019 01:15:18 AM,1,2.7,1,N,141,234,1,13.0,0.5,0.5,1.0,0.0,0.3,15.3,
2,01/01/2019 12:23:14 AM,01/01/2019 12:25:40 AM,1,0.38,1,N,170,170,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,
2,01/01/2019 12:39:51 AM,01/01/2019 12:48:02 AM,1,0.55,1,N,170,170,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,
2,01/01/2019 12:46:00 AM,01/01/2019 12:49:07 AM,1,0.3,1,N,107,107,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,
2,01/01/2019 12:57:45 AM,01/01/2019 01:03:51 AM,1,1.42,1,N,170,141,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,
2,01/01/2019 12:16:16 AM,01/01/2019 12:25:57 AM,1,1.72,1,N,41,247,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,
2,01/01/2019 12:46:43 AM,01/01/2019 12:47:02 AM,1,0.06,1,N,116,42,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,
1,01/01/2019 12:48:01 AM,01/01/2019 01:00:23 AM,1,1.5,1,N,113,90,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
1,01/01/2019 12:55:27 AM,01/01/2019 01:11:50 AM,1,1.2,1,N,161,170,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,
1,01/01/2019 12:19:55 AM,01/01/2019 12:57:56 AM,1,12.3,1,N,138,50,1,38.0,0.5,0.5,4.0,5.76,0.3,49.06,
1,01/01/2019 12:13:53 AM,01/01/2019 12:22:11 AM,1,1.3,1,N,144,261,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
1,01/01/2019 12:26:21 AM,01/01/2019 12:39:39 AM,1,1.9,1,N,231,79,1,10.5,0.5,0.5,2.0,0.0,0.3,13.8,
1,01/01/2019 12:50:06 AM,01/01/2019 01:11:36 AM,1,4.6,1,N,107,181,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3,
1,01/01/2019 12:17:00 AM,01/01/2019 12:22:39 AM,3,0.6,1,N,161,229,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,
1,01/01/2019 12:32:59 AM,01/01/2019 12:32:59 AM,3,0.0,1,Y,237,264,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,
1,01/01/2019 12:43:19 AM,01/01/2019 12:58:09 AM,2,3.0,1,N,263,107,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,
2,01/01/2019 12:52:37 AM,01/01/2019 01:03:42 AM,1,2.1,1,N,151,142,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,
2,01/01/2019 12:11:45 AM,01/01/2019 12:40:51 AM,1,6.57,1,N,231,238,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,
2,01/01/2019 12:43:28 AM,01/01/2019 12:49:42 AM,1,1.03,2,N,238,239,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,
2,01/01/2019 12:08:20 AM,01/01/2019 12:41:51 AM,2,19.13,2,N,132,238,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,
2,01/01/2019 12:47:21 AM,01/01/2019 12:53:34 AM,2,1.43,1,N,239,236,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
1,01/01/2019 12:17:49 AM,01/01/2019 12:30:37 AM,1,4.2,1,N,264,229,1,15.0,0.5,0.5,3.25,0.0,0.3,19.55,
1,01/01/2019 12:41:07 AM,01/01/2019 01:51:53 AM,1,11.2,1,N,141,83,2,46.5,0.5,0.5,0.0,0.0,0.3,47.8,
1,01/01/2019 12:15:02 AM,01/01/2019 12:22:33 AM,4,1.5,1,N,151,142,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
1,01/01/2019 12:27:26 AM,01/01/2019 12:39:53 AM,2,3.1,1,N,142,263,1,11.5,0.5,0.5,1.5,0.0,0.3,14.3,
1,01/01/2019 12:42:56 AM,01/01/2019 12:46:41 AM,2,0.7,1,N,263,140,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
1,01/01/2019 12:52:41 AM,01/01/2019 12:57:31 AM,2,1.2,1,N,229,141,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
1,01/01/2019 12:37:30 AM,01/01/2019 12:51:52 AM,2,1.3,1,N,249,234,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,
1,01/01/2019 12:56:14 AM,01/01/2019 01:07:06 AM,3,1.7,1,N,137,161,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,
2,01/01/2019 12:55:26 AM,01/01/2019 01:30:46 AM,3,5.23,1,N,90,181,1,24.5,0.5,0.5,4.0,0.0,0.3,29.8,
1,01/01/2019 12:33:40 AM,01/01/2019 12:39:27 AM,2,0.8,1,N,170,137,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,
1,01/01/2019 12:46:44 AM,01/01/2019 12:56:18 AM,2,1.1,1,N,162,140,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,
1,01/01/2019 12:57:32 AM,01/01/2019 01:18:34 AM,1,8.0,1,N,140,243,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,
2,01/01/2019 12:26:14 AM,01/01/2019 12:40:31 AM,1,4.1,1,N,137,75,1,14.0,0.5,0.5,0.0,0.0,0.3,15.3,
2,01/01/2019 12:44:26 AM,01/01/2019 12:55:29 AM,1,2.69,1,N,236,41,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,
2,01/01/2019 12:57:35 AM,01/01/2019 01:13:14 AM,1,4.36,1,N,41,50,1,15.5,0.5,0.5,3.36,0.0,0.3,20.16,
2,01/01/2019 12:36:09 AM,01/01/2019 12:54:41 AM,2,3.79,1,N,68,88,1,14.5,0.5,0.5,4.74,0.0,0.3,20.54,
2,01/01/2019 12:56:23 AM,01/01/2019 01:12:03 AM,2,3.52,1,N,88,90,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,
1,01/01/2019 12:19:21 AM,01/01/2019 12:28:39 AM,1,1.5,1,N,74,168,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
1,01/01/2019 12:10:19 AM,01/01/2019 12:13:50 AM,1,0.7,1,N,249,113,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,
1,01/01/2019 12:17:42 AM,01/01/2019 12:34:36 AM,2,2.1,1,N,79,161,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,
1,01/01/2019 12:58:12 AM,01/01/2019 01:07:53 AM,2,1.4,1,N,107,79,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6,
1,01/01/2019 12:21:15 AM,01/01/2019 12:41:23 AM,1,3.6,1,N,170,75,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,
1,01/01/2019 12:45:50 AM,01/01/2019 01:24:07 AM,1,5.2,1,N,75,246,1,25.5,0.5,0.5,5.35,0.0,0.3,32.15,
1,01/01/2019 12:20:26 AM,01/01/2019 12:33:00 AM,2,1.3,1,N,264,170,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,
1,01/01/2019 12:35:56 AM,01/01/2019 12:42:47 AM,1,1.7,1,N,233,141,1,7.5,0.5,0.5,2.0,0.0,0.3,10.8,
1,01/01/2019 12:53:08 AM,01/01/2019 01:07:19 AM,1,1.9,1,N,229,234,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,
1,01/01/2019 12:21:36 AM,01/01/2019 12:35:26 AM,1,2.6,1,N,148,246,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,
